horizonte,modelo,real,previsto
15_minutos,LSTM_Otimizada,0.198,0.36233684
15_minutos,LSTM_Otimizada,0.196,0.36199474
15_minutos,LSTM_Otimizada,0.196,0.36173233
15_minutos,LSTM_Otimizada,0.196,0.3615194
15_minutos,LSTM_Otimizada,0.194,0.36124733
15_minutos,LSTM_Otimizada,0.194,0.3608167
15_minutos,LSTM_Otimizada,0.136,0.36035118
15_minutos,LSTM_Otimizada,0.12399999999999999,0.359962
15_minutos,LSTM_Otimizada,0.12399999999999999,0.35985252
15_minutos,LSTM_Otimizada,0.12399999999999999,0.36013186
15_minutos,LSTM_Otimizada,0.12399999999999999,0.36064243
15_minutos,LSTM_Otimizada,0.12399999999999999,0.36128584
15_minutos,LSTM_Otimizada,0.12399999999999999,0.36194342
15_minutos,LSTM_Otimizada,0.12399999999999999,0.36253062
15_minutos,LSTM_Otimizada,0.12399999999999999,0.36311507
15_minutos,LSTM_Otimizada,0.12399999999999999,0.3635002
15_minutos,LSTM_Otimizada,0.12399999999999999,0.36364663
15_minutos,LSTM_Otimizada,0.12399999999999999,0.36363113
15_minutos,LSTM_Otimizada,0.158,0.36353785
15_minutos,LSTM_Otimizada,0.236,0.36335742
15_minutos,LSTM_Otimizada,0.232,0.36316794
15_minutos,LSTM_Otimizada,0.23,0.36294317
15_minutos,LSTM_Otimizada,0.228,0.36274767
15_minutos,LSTM_Otimizada,0.228,0.3627081
15_minutos,LSTM_Otimizada,0.22600000000000003,0.36278933
15_minutos,LSTM_Otimizada,0.224,0.3630539
15_minutos,LSTM_Otimizada,0.222,0.36346343
15_minutos,LSTM_Otimizada,0.222,0.3640138
15_minutos,LSTM_Otimizada,0.222,0.36469558
15_minutos,LSTM_Otimizada,0.22,0.36546314
15_minutos,LSTM_Otimizada,0.22,0.366234
15_minutos,LSTM_Otimizada,0.22,0.36696807
15_minutos,LSTM_Otimizada,0.22,0.36631975
15_minutos,LSTM_Otimizada,0.22,0.364512
15_minutos,LSTM_Otimizada,0.22,0.36280748
15_minutos,LSTM_Otimizada,0.218,0.36027974
15_minutos,LSTM_Otimizada,0.21,0.35705385
15_minutos,LSTM_Otimizada,0.126,0.35376126
15_minutos,LSTM_Otimizada,0.126,0.35113406
15_minutos,LSTM_Otimizada,0.126,0.34942663
15_minutos,LSTM_Otimizada,0.12399999999999999,0.34895834
15_minutos,LSTM_Otimizada,0.12399999999999999,0.34925988
15_minutos,LSTM_Otimizada,0.12399999999999999,0.34981328
15_minutos,LSTM_Otimizada,0.152,0.3507639
15_minutos,LSTM_Otimizada,0.202,0.35149437
15_minutos,LSTM_Otimizada,0.202,0.3514674
15_minutos,LSTM_Otimizada,0.204,0.35163447
15_minutos,LSTM_Otimizada,0.202,0.3518776
15_minutos,LSTM_Otimizada,0.20000000000000004,0.35212252
15_minutos,LSTM_Otimizada,0.20000000000000004,0.3520389
15_minutos,LSTM_Otimizada,0.198,0.3520118
15_minutos,LSTM_Otimizada,0.196,0.35206857
15_minutos,LSTM_Otimizada,0.196,0.35229388
15_minutos,LSTM_Otimizada,0.196,0.35341066
15_minutos,LSTM_Otimizada,0.194,0.3555273
15_minutos,LSTM_Otimizada,0.194,0.35820898
15_minutos,LSTM_Otimizada,0.134,0.36083606
15_minutos,LSTM_Otimizada,0.126,0.36302105
15_minutos,LSTM_Otimizada,0.126,0.36329874
15_minutos,LSTM_Otimizada,0.126,0.36397702
15_minutos,LSTM_Otimizada,0.126,0.36486337
15_minutos,LSTM_Otimizada,0.126,0.3657414
15_minutos,LSTM_Otimizada,0.126,0.36407575
15_minutos,LSTM_Otimizada,0.126,0.36182237
15_minutos,LSTM_Otimizada,0.186,0.35980088
15_minutos,LSTM_Otimizada,0.212,0.35820413
15_minutos,LSTM_Otimizada,0.21,0.35724217
15_minutos,LSTM_Otimizada,0.21,0.35679653
15_minutos,LSTM_Otimizada,0.288,0.35683072
15_minutos,LSTM_Otimizada,0.318,0.3572888
15_minutos,LSTM_Otimizada,0.314,0.35790765
15_minutos,LSTM_Otimizada,0.314,0.35876736
15_minutos,LSTM_Otimizada,0.312,0.36037052
15_minutos,LSTM_Otimizada,0.31,0.36199254
15_minutos,LSTM_Otimizada,0.308,0.36396587
15_minutos,LSTM_Otimizada,0.308,0.36457732
15_minutos,LSTM_Otimizada,0.306,0.36445454
15_minutos,LSTM_Otimizada,0.306,0.36445403
15_minutos,LSTM_Otimizada,0.302,0.36448675
15_minutos,LSTM_Otimizada,0.3,0.36456817
15_minutos,LSTM_Otimizada,0.298,0.36490032
15_minutos,LSTM_Otimizada,0.298,0.36555904
